index_a,index_b
598_a,340_b
598_a,365_b
2112_a,340_b
2112_a,365_b
3207_a,340_b
3207_a,365_b
3526_a,750_b
3526_a,900_b
2147_a,134_b
2893_a,302_b
2893_a,370_b
2893_a,437_b
2942_a,134_b
2996_a,302_b
2996_a,370_b
2996_a,437_b
424_a,356_b
424_a,453_b
919_a,320_b
919_a,827_b
2015_a,320_b
2015_a,827_b
2972_a,320_b
2972_a,827_b
772_a,77_b
772_a,212_b
2350_a,389_b
3379_a,77_b
3379_a,212_b
218_a,221_b
218_a,236_b
218_a,425_b
218_a,926_b
1047_a,221_b
1047_a,236_b
1047_a,425_b
1047_a,926_b
1991_a,857_b
2648_a,857_b
421_a,119_b
421_a,223_b
421_a,244_b
1738_a,119_b
1738_a,223_b
1738_a,244_b
3403_a,119_b
3403_a,223_b
3403_a,244_b
58_a,275_b
58_a,480_b
58_a,826_b
70_a,71_b
70_a,151_b
3272_a,71_b
3272_a,151_b
3855_a,71_b
3855_a,151_b
2149_a,221_b
2149_a,236_b
2149_a,425_b
2149_a,926_b
2275_a,857_b
2304_a,221_b
2304_a,236_b
2304_a,425_b
2304_a,926_b
3398_a,221_b
3398_a,236_b
3398_a,425_b
3398_a,926_b
1598_a,130_b
1598_a,270_b
1598_a,536_b
1788_a,130_b
1788_a,270_b
1788_a,536_b
2383_a,130_b
2383_a,270_b
2383_a,536_b
2882_a,327_b
2882_a,433_b
2882_a,690_b
2882_a,993_b
274_a,254_b
274_a,284_b
899_a,254_b
899_a,284_b
1527_a,254_b
1527_a,284_b
3033_a,254_b
3033_a,284_b
842_a,242_b
842_a,573_b
872_a,242_b
872_a,573_b
1081_a,242_b
1081_a,573_b
1442_a,242_b
1442_a,573_b
1805_a,195_b
1805_a,426_b
2213_a,195_b
2213_a,426_b
2259_a,195_b
2259_a,426_b
2691_a,195_b
2691_a,426_b
1381_a,239_b
3056_a,56_b
3056_a,86_b
3422_a,56_b
3422_a,86_b
1343_a,356_b
1343_a,453_b
1778_a,320_b
1778_a,827_b
2014_a,320_b
2014_a,827_b
2783_a,356_b
2783_a,453_b
191_a,12_b
191_a,530_b
330_a,101_b
330_a,785_b
783_a,12_b
783_a,530_b
2798_a,12_b
2798_a,530_b
296_a,369_b
296_a,498_b
296_a,869_b
1744_a,369_b
1744_a,498_b
1744_a,869_b
1783_a,369_b
1783_a,498_b
1783_a,869_b
3169_a,369_b
3169_a,498_b
3169_a,869_b
398_a,130_b
398_a,270_b
398_a,536_b
1467_a,994_b
1627_a,130_b
1627_a,270_b
1627_a,536_b
3383_a,130_b
3383_a,270_b
3383_a,536_b
1087_a,71_b
1087_a,151_b
1101_a,71_b
1101_a,151_b
3444_a,71_b
3444_a,151_b
3465_a,71_b
3465_a,151_b
3573_a,275_b
3573_a,480_b
3573_a,826_b
2712_a,61_b
2712_a,272_b
2712_a,442_b
2931_a,61_b
2931_a,272_b
2931_a,442_b
3095_a,61_b
3095_a,272_b
3095_a,442_b
110_a,994_b
759_a,130_b
759_a,270_b
759_a,536_b
1590_a,130_b
1590_a,270_b
1590_a,536_b
2644_a,130_b
2644_a,270_b
2644_a,536_b
1945_a,242_b
1945_a,573_b
1947_a,242_b
1947_a,573_b
1982_a,242_b
1982_a,573_b
2209_a,242_b
2209_a,573_b
1987_a,153_b
1987_a,632_b
1987_a,775_b
2154_a,153_b
2154_a,632_b
2154_a,775_b
3673_a,153_b
3673_a,632_b
3673_a,775_b
130_a,231_b
130_a,288_b
130_a,558_b
1910_a,231_b
1910_a,288_b
1910_a,558_b
3810_a,231_b
3810_a,288_b
3810_a,558_b
1017_a,163_b
1753_a,624_b
1753_a,662_b
1753_a,819_b
1753_a,951_b
3262_a,624_b
3262_a,662_b
3262_a,819_b
3262_a,951_b
3652_a,624_b
3652_a,662_b
3652_a,819_b
3652_a,951_b
2108_a,524_b
2108_a,828_b
2108_a,848_b
2524_a,524_b
2524_a,828_b
2524_a,848_b
2595_a,268_b
3467_a,268_b
946_a,52_b
946_a,291_b
946_a,615_b
946_a,638_b
1094_a,52_b
1094_a,291_b
1094_a,615_b
1094_a,638_b
2001_a,52_b
2001_a,291_b
2001_a,615_b
2001_a,638_b
162_a,52_b
162_a,291_b
162_a,615_b
162_a,638_b
1456_a,52_b
1456_a,291_b
1456_a,615_b
1456_a,638_b
3626_a,52_b
3626_a,291_b
3626_a,615_b
3626_a,638_b
1573_a,687_b
1573_a,979_b
2617_a,687_b
2617_a,979_b
3397_a,687_b
3397_a,979_b
3778_a,80_b
1999_a,185_b
1999_a,216_b
1999_a,251_b
1999_a,686_b
1999_a,864_b
2706_a,185_b
2706_a,216_b
2706_a,251_b
2706_a,686_b
2706_a,864_b
3350_a,185_b
3350_a,216_b
3350_a,251_b
3350_a,686_b
3350_a,864_b
187_a,336_b
187_a,514_b
187_a,712_b
408_a,336_b
408_a,514_b
408_a,712_b
1390_a,33_b
1390_a,696_b
1968_a,336_b
1968_a,514_b
1968_a,712_b
708_a,293_b
1849_a,166_b
1849_a,174_b
1849_a,571_b
3500_a,166_b
3500_a,174_b
3500_a,571_b
3785_a,166_b
3785_a,174_b
3785_a,571_b
649_a,147_b
649_a,323_b
649_a,939_b
1070_a,147_b
1070_a,323_b
1070_a,939_b
1295_a,147_b
1295_a,323_b
1295_a,939_b
2238_a,6_b
394_a,286_b
1862_a,607_b
1862_a,656_b
1862_a,817_b
2510_a,607_b
2510_a,656_b
2510_a,817_b
3460_a,607_b
3460_a,656_b
3460_a,817_b
3450_a,89_b
3450_a,97_b
3450_a,568_b
3475_a,89_b
3475_a,97_b
3475_a,568_b
3501_a,89_b
3501_a,97_b
3501_a,568_b
349_a,163_b
1640_a,624_b
1640_a,662_b
1640_a,819_b
1640_a,951_b
2098_a,624_b
2098_a,662_b
2098_a,819_b
2098_a,951_b
3376_a,624_b
3376_a,662_b
3376_a,819_b
3376_a,951_b
671_a,37_b
671_a,620_b
671_a,860_b
1416_a,37_b
1416_a,620_b
1416_a,860_b
1460_a,37_b
1460_a,620_b
1460_a,860_b
2527_a,37_b
2527_a,620_b
2527_a,860_b
247_a,718_b
1141_a,718_b
1572_a,718_b
3728_a,718_b
604_a,14_b
604_a,219_b
1011_a,14_b
1011_a,219_b
1190_a,14_b
1190_a,219_b
1476_a,14_b
1476_a,219_b
319_a,57_b
1464_a,57_b
1889_a,57_b
3373_a,297_b
3373_a,473_b
3373_a,790_b
167_a,985_b
226_a,985_b
1671_a,985_b
1501_a,340_b
1501_a,365_b
2221_a,340_b
2221_a,365_b
2256_a,750_b
2256_a,900_b
3077_a,340_b
3077_a,365_b
1509_a,457_b
2573_a,457_b
3234_a,41_b
3234_a,878_b
3234_a,942_b
3368_a,41_b
3368_a,878_b
3368_a,942_b
1429_a,267_b
1845_a,628_b
1845_a,931_b
3112_a,267_b
550_a,672_b
550_a,897_b
1878_a,378_b
1878_a,617_b
2174_a,378_b
2174_a,617_b
3103_a,378_b
3103_a,617_b
310_a,136_b
310_a,237_b
310_a,602_b
310_a,968_b
2296_a,136_b
2296_a,237_b
2296_a,602_b
2296_a,968_b
258_a,43_b
258_a,100_b
258_a,199_b
258_a,375_b
1121_a,43_b
1121_a,100_b
1121_a,199_b
1121_a,375_b
3237_a,43_b
3237_a,100_b
3237_a,199_b
3237_a,375_b
2150_a,109_b
2150_a,492_b
2150_a,949_b
2150_a,61_b
2150_a,272_b
2150_a,442_b
2809_a,109_b
2809_a,492_b
2809_a,949_b
2809_a,61_b
2809_a,272_b
2809_a,442_b
3694_a,173_b
135_a,644_b
135_a,865_b
2036_a,195_b
2036_a,426_b
