index_a,index_b
670_a,517_b
670_a,625_b
670_a,691_b
670_a,950_b
3260_a,517_b
3260_a,625_b
3260_a,691_b
3260_a,950_b
3392_a,517_b
3392_a,625_b
3392_a,691_b
3392_a,950_b
3743_a,517_b
3743_a,625_b
3743_a,691_b
3743_a,950_b
108_a,201_b
108_a,667_b
108_a,726_b
3357_a,201_b
3357_a,667_b
3357_a,726_b
3611_a,201_b
3611_a,667_b
3611_a,726_b
3775_a,201_b
3775_a,667_b
3775_a,726_b
128_a,144_b
128_a,458_b
128_a,659_b
128_a,727_b
128_a,78_b
128_a,309_b
128_a,689_b
128_a,820_b
128_a,285_b
128_a,313_b
128_a,404_b
1644_a,144_b
1644_a,458_b
1644_a,659_b
1644_a,727_b
1644_a,78_b
1644_a,309_b
1644_a,689_b
1644_a,820_b
1644_a,285_b
1644_a,313_b
1644_a,404_b
2044_a,144_b
2044_a,458_b
2044_a,659_b
2044_a,727_b
2044_a,78_b
2044_a,309_b
2044_a,689_b
2044_a,820_b
2044_a,285_b
2044_a,313_b
2044_a,404_b
3731_a,144_b
3731_a,458_b
3731_a,659_b
3731_a,727_b
3731_a,78_b
3731_a,309_b
3731_a,689_b
3731_a,820_b
3731_a,285_b
3731_a,313_b
3731_a,404_b
343_a,399_b
343_a,716_b
343_a,937_b
343_a,165_b
343_a,390_b
343_a,832_b
1123_a,399_b
1123_a,716_b
1123_a,937_b
1123_a,165_b
1123_a,390_b
1123_a,832_b
2909_a,399_b
2909_a,716_b
2909_a,937_b
2909_a,165_b
2909_a,390_b
2909_a,832_b
3463_a,399_b
3463_a,716_b
3463_a,937_b
3463_a,165_b
3463_a,390_b
3463_a,832_b
1177_a,462_b
1177_a,565_b
1177_a,734_b
1177_a,875_b
1177_a,8_b
1177_a,94_b
1177_a,923_b
1604_a,462_b
1604_a,565_b
1604_a,734_b
1604_a,875_b
1604_a,8_b
1604_a,94_b
1604_a,923_b
1898_a,462_b
1898_a,565_b
1898_a,734_b
1898_a,875_b
1898_a,8_b
1898_a,94_b
1898_a,923_b
3721_a,462_b
3721_a,565_b
3721_a,734_b
3721_a,875_b
3721_a,8_b
3721_a,94_b
3721_a,923_b
729_a,148_b
729_a,388_b
729_a,880_b
2664_a,148_b
2664_a,388_b
2664_a,880_b
2887_a,148_b
2887_a,388_b
2887_a,880_b
3128_a,148_b
3128_a,388_b
3128_a,880_b
1136_a,445_b
1136_a,579_b
1136_a,932_b
1272_a,445_b
1272_a,579_b
1272_a,932_b
1441_a,445_b
1441_a,579_b
1441_a,932_b
2865_a,445_b
2865_a,579_b
2865_a,932_b
1494_a,179_b
1494_a,207_b
1494_a,363_b
1494_a,911_b
2272_a,179_b
2272_a,207_b
2272_a,363_b
2272_a,911_b
3071_a,179_b
3071_a,207_b
3071_a,363_b
3071_a,911_b
3192_a,179_b
3192_a,207_b
3192_a,363_b
3192_a,911_b
598_a,369_b
598_a,498_b
598_a,869_b
598_a,884_b
598_a,248_b
598_a,444_b
598_a,478_b
598_a,801_b
598_a,340_b
598_a,365_b
598_a,750_b
598_a,900_b
598_a,25_b
598_a,133_b
598_a,325_b
2112_a,369_b
2112_a,498_b
2112_a,869_b
2112_a,884_b
2112_a,248_b
2112_a,444_b
2112_a,478_b
2112_a,801_b
2112_a,340_b
2112_a,365_b
2112_a,750_b
2112_a,900_b
2112_a,25_b
2112_a,133_b
2112_a,325_b
3207_a,369_b
3207_a,498_b
3207_a,869_b
3207_a,884_b
3207_a,248_b
3207_a,444_b
3207_a,478_b
3207_a,801_b
3207_a,340_b
3207_a,365_b
3207_a,750_b
3207_a,900_b
3207_a,25_b
3207_a,133_b
3207_a,325_b
3526_a,369_b
3526_a,498_b
3526_a,869_b
3526_a,884_b
3526_a,248_b
3526_a,444_b
3526_a,478_b
3526_a,801_b
3526_a,340_b
3526_a,365_b
3526_a,750_b
3526_a,900_b
3526_a,25_b
3526_a,133_b
3526_a,325_b
367_a,63_b
367_a,488_b
367_a,918_b
750_a,63_b
750_a,488_b
750_a,918_b
1316_a,63_b
1316_a,488_b
1316_a,918_b
1490_a,63_b
1490_a,488_b
1490_a,918_b
1414_a,43_b
1414_a,100_b
1414_a,199_b
1414_a,375_b
1544_a,43_b
1544_a,100_b
1544_a,199_b
1544_a,375_b
1904_a,43_b
1904_a,100_b
1904_a,199_b
1904_a,375_b
1327_a,14_b
1327_a,219_b
1327_a,818_b
1327_a,904_b
1327_a,61_b
1327_a,272_b
1327_a,442_b
2483_a,14_b
2483_a,219_b
2483_a,818_b
2483_a,904_b
2483_a,61_b
2483_a,272_b
2483_a,442_b
3111_a,14_b
3111_a,219_b
3111_a,818_b
3111_a,904_b
3111_a,61_b
3111_a,272_b
3111_a,442_b
3622_a,14_b
3622_a,219_b
3622_a,818_b
3622_a,904_b
3622_a,61_b
3622_a,272_b
3622_a,442_b
1155_a,206_b
