index_a,index_b
3260_a,517_b
3260_a,625_b
3260_a,691_b
3260_a,950_b
128_a,144_b
128_a,458_b
128_a,659_b
128_a,727_b
128_a,78_b
128_a,689_b
128_a,820_b
128_a,285_b
128_a,313_b
128_a,404_b
1644_a,309_b
2044_a,309_b
3731_a,309_b
3463_a,399_b
3463_a,716_b
3463_a,937_b
3463_a,165_b
3463_a,390_b
3463_a,832_b
1177_a,565_b
1177_a,875_b
1604_a,565_b
1604_a,875_b
1898_a,565_b
1898_a,875_b
3721_a,462_b
3721_a,734_b
3721_a,8_b
3721_a,94_b
3721_a,923_b
729_a,388_b
2664_a,148_b
2664_a,880_b
2887_a,388_b
3128_a,388_b
1136_a,445_b
1272_a,445_b
1441_a,445_b
2865_a,445_b
1494_a,179_b
1494_a,207_b
1494_a,363_b
1494_a,911_b
3192_a,179_b
3192_a,207_b
3192_a,363_b
3192_a,911_b
598_a,884_b
598_a,801_b
2112_a,884_b
2112_a,801_b
3207_a,884_b
3207_a,801_b
3526_a,369_b
3526_a,498_b
3526_a,869_b
3526_a,248_b
3526_a,444_b
3526_a,478_b
3526_a,25_b
3526_a,133_b
3526_a,325_b
367_a,63_b
367_a,488_b
367_a,918_b
1544_a,43_b
1544_a,100_b
1544_a,199_b
1544_a,375_b
1904_a,43_b
1904_a,100_b
1904_a,199_b
1904_a,375_b
1327_a,818_b
1327_a,904_b
2483_a,818_b
2483_a,904_b
3111_a,14_b
3111_a,219_b
3111_a,61_b
3111_a,272_b
3111_a,442_b
3622_a,818_b
3622_a,904_b
1495_a,806_b
2362_a,806_b
3184_a,806_b
3312_a,569_b
3312_a,692_b
3312_a,845_b
415_a,481_b
415_a,217_b
2431_a,481_b
2431_a,217_b
3486_a,481_b
3486_a,217_b
861_a,59_b
861_a,953_b
1219_a,59_b
1219_a,953_b
2490_a,59_b
2490_a,953_b
1639_a,98_b
1639_a,168_b
2372_a,98_b
2372_a,168_b
3470_a,477_b
3470_a,779_b
3470_a,837_b
3672_a,98_b
3672_a,168_b
1944_a,206_b
1944_a,651_b
1944_a,829_b
321_a,507_b
321_a,752_b
1407_a,664_b
1407_a,958_b
2233_a,507_b
2233_a,752_b
2204_a,170_b
2204_a,474_b
2204_a,499_b
1882_a,143_b
1882_a,385_b
1882_a,528_b
1882_a,338_b
1882_a,532_b
1882_a,960_b
1882_a,486_b
1882_a,554_b
1882_a,777_b
1882_a,908_b
2784_a,143_b
2784_a,385_b
2784_a,528_b
2784_a,338_b
2784_a,532_b
2784_a,960_b
2784_a,486_b
2784_a,554_b
2784_a,777_b
2784_a,908_b
2970_a,719_b
2970_a,833_b
3657_a,719_b
3657_a,833_b
1903_a,513_b
1903_a,901_b
2190_a,513_b
2190_a,901_b
2475_a,114_b
2561_a,513_b
2561_a,901_b
1399_a,634_b
2451_a,634_b
2457_a,634_b
2695_a,634_b
715_a,510_b
715_a,745_b
715_a,764_b
796_a,192_b
1806_a,510_b
1806_a,745_b
1806_a,764_b
1955_a,203_b
1955_a,485_b
1955_a,784_b
1955_a,809_b
3360_a,203_b
3360_a,485_b
3360_a,784_b
3360_a,809_b
1030_a,230_b
1030_a,552_b
1030_a,578_b
1030_a,733_b
1030_a,914_b
356_a,739_b
814_a,739_b
3615_a,739_b
2692_a,41_b
2692_a,878_b
2692_a,942_b
3055_a,41_b
3055_a,878_b
3055_a,942_b
3141_a,41_b
3141_a,878_b
3141_a,942_b
3314_a,41_b
3314_a,878_b
3314_a,942_b
828_a,457_b
3196_a,41_b
3196_a,878_b
3196_a,942_b
3817_a,41_b
3817_a,878_b
3817_a,942_b
2410_a,215_b
2410_a,431_b
2410_a,522_b
2410_a,706_b
2549_a,813_b
2778_a,813_b
2926_a,813_b
3101_a,813_b
535_a,46_b
535_a,525_b
535_a,703_b
535_a,927_b
2428_a,46_b
2428_a,525_b
2428_a,703_b
2428_a,927_b
2207_a,230_b
2207_a,552_b
2207_a,578_b
2207_a,733_b
2207_a,914_b
629_a,445_b
986_a,445_b
1636_a,445_b
3442_a,579_b
3442_a,932_b
1337_a,818_b
1337_a,904_b
1705_a,14_b
1705_a,219_b
1705_a,61_b
1705_a,272_b
1705_a,442_b
2575_a,818_b
2575_a,904_b
2976_a,818_b
2976_a,904_b
1665_a,874_b
2354_a,874_b
2580_a,874_b
3293_a,874_b
196_a,116_b
196_a,125_b
196_a,455_b
2841_a,116_b
2841_a,125_b
2841_a,455_b
3343_a,310_b
3343_a,419_b
3343_a,521_b
3343_a,990_b
3631_a,310_b
3631_a,419_b
3631_a,521_b
3631_a,990_b
1368_a,285_b
1368_a,313_b
1368_a,404_b
1789_a,285_b
1789_a,313_b
1789_a,404_b
424_a,447_b
424_a,454_b
424_a,861_b
919_a,104_b
2015_a,104_b
2972_a,104_b
276_a,173_b
276_a,155_b
276_a,672_b
276_a,897_b
2276_a,173_b
2276_a,155_b
2276_a,672_b
2276_a,897_b
3351_a,173_b
3351_a,155_b
3351_a,672_b
3351_a,897_b
1027_a,383_b
1027_a,468_b
1027_a,757_b
1027_a,814_b
856_a,108_b
856_a,504_b
856_a,693_b
1928_a,289_b
2583_a,289_b
3496_a,108_b
3496_a,504_b
3496_a,693_b
1730_a,813_b
2861_a,127_b
2861_a,537_b
2861_a,903_b
3530_a,127_b
3530_a,537_b
3530_a,903_b
3554_a,813_b
772_a,435_b
2350_a,178_b
2350_a,351_b
2350_a,408_b
2350_a,966_b
2350_a,523_b
2350_a,627_b
2350_a,705_b
3379_a,435_b
1031_a,575_b
1031_a,871_b
1045_a,198_b
1045_a,636_b
1045_a,835_b
1045_a,95_b
1045_a,295_b
1045_a,353_b
1553_a,575_b
1553_a,871_b
1737_a,575_b
1737_a,871_b
692_a,96_b
692_a,398_b
1532_a,220_b
1532_a,964_b
2143_a,96_b
2143_a,398_b
2163_a,96_b
2163_a,398_b
1895_a,913_b
1927_a,913_b
3651_a,913_b
3790_a,287_b
3790_a,631_b
3790_a,838_b
153_a,90_b
153_a,311_b
153_a,360_b
153_a,736_b
153_a,166_b
153_a,174_b
153_a,571_b
2679_a,293_b
2816_a,293_b
3156_a,293_b
218_a,650_b
218_a,895_b
1047_a,650_b
1047_a,895_b
1991_a,260_b
1991_a,345_b
1991_a,945_b
2648_a,260_b
2648_a,345_b
2648_a,945_b
2717_a,352_b
2717_a,608_b
2717_a,925_b
727_a,50_b
727_a,414_b
727_a,704_b
943_a,718_b
1524_a,50_b
1524_a,414_b
1524_a,704_b
2604_a,50_b
2604_a,414_b
2604_a,704_b
628_a,539_b
1617_a,539_b
2588_a,539_b
52_a,603_b
2643_a,209_b
2643_a,789_b
2697_a,603_b
3834_a,209_b
3834_a,789_b
1361_a,190_b
1541_a,30_b
1541_a,341_b
1541_a,941_b
3456_a,190_b
3557_a,190_b
1269_a,308_b
1269_a,448_b
1269_a,776_b
3036_a,308_b
3036_a,448_b
3036_a,776_b
421_a,393_b
421_a,681_b
421_a,60_b
421_a,760_b
1738_a,393_b
1738_a,681_b
1738_a,60_b
1738_a,760_b
3403_a,393_b
3403_a,681_b
3403_a,60_b
3403_a,760_b
1224_a,653_b
2087_a,653_b
3087_a,653_b
3361_a,653_b
539_a,409_b
539_a,475_b
1328_a,15_b
1328_a,574_b
2349_a,409_b
2349_a,475_b
3245_a,409_b
3245_a,475_b
575_a,502_b
575_a,506_b
964_a,502_b
964_a,506_b
2274_a,482_b
2274_a,794_b
2860_a,482_b
2860_a,794_b
206_a,57_b
564_a,57_b
1024_a,57_b
3594_a,57_b
1349_a,388_b
1507_a,388_b
1745_a,388_b
2121_a,388_b
2234_a,201_b
2234_a,667_b
2234_a,726_b
301_a,53_b
301_a,304_b
301_a,339_b
301_a,93_b
301_a,592_b
2743_a,241_b
2743_a,189_b
2743_a,531_b
2773_a,241_b
2773_a,189_b
2773_a,531_b
3308_a,241_b
3308_a,189_b
3308_a,531_b
3498_a,241_b
3498_a,189_b
3498_a,531_b
1217_a,511_b
1759_a,70_b
1759_a,87_b
2401_a,511_b
2341_a,50_b
2341_a,414_b
2341_a,704_b
2672_a,50_b
2672_a,414_b
2672_a,704_b
2690_a,718_b
2770_a,50_b
2770_a,414_b
2770_a,704_b
208_a,186_b
208_a,544_b
3079_a,186_b
3079_a,544_b
3428_a,527_b
3428_a,751_b
3428_a,995_b
619_a,644_b
619_a,865_b
1191_a,46_b
1191_a,525_b
1191_a,703_b
1191_a,927_b
1191_a,195_b
1191_a,426_b
1354_a,644_b
1354_a,865_b
1785_a,644_b
1785_a,865_b
1775_a,110_b
1775_a,252_b
1775_a,649_b
1775_a,873_b
1902_a,110_b
1902_a,252_b
1902_a,649_b
1902_a,873_b
2300_a,110_b
2300_a,252_b
2300_a,649_b
2300_a,873_b
286_a,435_b
641_a,435_b
